hour,T_out_C,T_air_C,T_mass_C,solar_gain_W,conduction_loss_W,ventilation_loss_W,net_heat_flow_W,storage_rate_W,comfort_status
53.5,-16.923003752364295,-3.2026744106719516,-2.8090288925481364,249.3000514618559,660.432720007275,174.65430438800686,-735.0870243952818,-485.7869729334284,uncomfortable
54.0,-17.0,-3.3141748608955894,-2.921511594945862,250.22334693671672,658.7721054561158,174.21507969074352,-732.9871851468594,-482.7638382101436,uncomfortable
54.5,-16.923003752364295,-3.4060276199835804,-3.022368647513666,290.0431585060067,650.5056104334165,172.06569937475356,-719.3337793021285,-432.52815130216436,uncomfortable
55.0,-16.693332436601615,-3.482694019317014,-3.115364759352752,305.19361953754446,635.5081724596657,168.16614279666607,-695.79112515322,-398.4806957187878,uncomfortable
55.5,-16.31491579260158,-3.542000405217295,-3.1967750153956187,328.2038364207159,614.1195273404295,162.59410371524703,-663.6067771474595,-348.5097946349626,uncomfortable
56.0,-15.794228634059948,-3.5812445909370285,-3.2631177208913327,358.63790290842337,586.7986484380293,155.46640167533752,-623.7097533079059,-283.6271472049453,uncomfortable
56.5,-15.140180062621116,-3.5981842349856996,-3.311450343625151,394.8763374252726,554.0950099780596,146.92499008746782,-577.0544078060902,-206.14366264025819,uncomfortable
57.0,-14.36396103067893,-3.597932026623221,-3.3468724345375347,402.79372883672636,516.2958073758986,137.04724281002757,-524.2266685752882,-150.54932134920247,uncomfortable
57.5,-13.478852861078487,-3.576442897401656,-3.3638535756372967,429.04267314933327,474.268047816634,126.0537178736206,-466.50644184631153,-71.2790925409228,uncomfortable
58.0,-12.5,-3.5386999138878283,-3.3673641986313645,429.22153361945874,428.49154079436414,114.0737655761735,-404.6690141010486,-13.343772751081545,uncomfortable
58.5,-11.444150891285808,-3.483953204304349,-3.3554361873434377,434.15089808482526,379.8324863422455,101.3301324761992,-339.94272680852833,52.988279266380246,uncomfortable
59.0,-10.329371405922686,-3.4194250891245166,-3.335243238469671,405.2918646629159,328.80407861205094,87.960852634314,-273.08984095482845,88.52693341655075,uncomfortable
59.5,-9.174735729980465,-3.3382236358505315,-3.297863322674737,413.2719521440341,276.6991128083028,74.29646435343642,-205.81455666968563,162.27637498229456,uncomfortable
60.0,-8.0,-2.763730810181329,-3.1625775802603284,799.4164142997358,233.71697180262652,66.65561227871576,264.2273426569886,599.0438302183932,uncomfortable
60.5,-6.825264270019535,-3.0380187067693014,-3.102876351627168,367.0068441207804,176.5069978008641,48.21012112195018,-79.53609843076069,242.2897251979652,uncomfortable
61.0,-5.670628594077314,-2.9532634978214176,-3.0368322431151467,344.2597463480584,125.40807543580081,34.590970729299066,-16.323955873563385,284.2607001829571,uncomfortable
61.5,-4.5558491087141935,-2.8455650892786486,-2.965666041280413,305.43920376354635,76.67685558337983,21.771231453806713,42.771804972729804,306.99111672635735,uncomfortable
62.0,-3.5000000000000018,-2.73313071014189,-2.8874300810303213,278.0278899724598,31.027169963481384,9.761939312177823,97.10718299382987,337.2387806967967,uncomfortable
62.5,-2.5211471389215134,-2.6194571104362097,-2.8042168481144363,246.38803514678398,-10.806762402791538,-1.2514466133934772,145.87353286012814,358.44624416296625,uncomfortable
63.0,-1.6360389693210715,-2.508557198047535,-2.719706937162234,204.52192383647264,-48.2130165629689,-11.10680804439639,188.43620621800332,363.84174844383494,uncomfortable
63.5,-0.8598199373788846,-2.3985904667671702,-2.6311797850670193,180.92898472916153,-80.36090302791649,-19.587933330901123,223.91442861825482,380.877821087977,uncomfortable
64.0,-0.20577136594005196,-2.2940596485360976,-2.5433920765225118,144.07976373025025,-106.8447495211204,-26.583074522134623,251.98312084871594,377.50758777350524,uncomfortable
64.5,0.31491579260158,-2.1955609550097495,-2.4565001355620693,114.34057898526001,-127.15003658921253,-31.957364806393183,272.2142553038227,373.4479803808635,uncomfortable
65.0,0.6933324366016134,-2.104092864732385,-2.371488885895886,88.64704450274144,-140.90310890028812,-35.610105115861266,284.39640411926104,365.1602585188896,uncomfortable
65.5,0.9230037523642931,-2.0196844443536586,-2.288441812152679,71.25554077191728,-147.80168966467593,-37.45924366894084,288.49846383965826,356.5164741055333,uncomfortable
66.0,1.0,-1.9422736699616023,-2.208013610680914,59.957173447537464,-147.68138760943438,-37.45396690914322,285.1353545185776,345.0925279661149,uncomfortable
66.5,0.9230037523642931,-1.874816570403226,-2.1353651272204495,35.30081800044254,-140.69312208226532,-35.61513358070142,276.30825566296676,311.6090736634055,uncomfortable
67.0,0.6933324366016151,-1.8165938644354283,-2.06612208430306,38.054906583463946,-126.74307917089136,-31.95035784168115,258.6934370125725,296.74834359603364,uncomfortable
67.5,0.31491579260158,-1.7688342028414277,-2.001844923557642,42.59266505541298,-106.08569624395035,-26.525303941991314,232.61100018594166,275.2036652413514,uncomfortable
68.0,-0.20577136594005196,-1.732702845512916,-1.9440029077026144,48.83645111073019,-79.09156227399956,-19.437226962370733,198.5287892363703,247.36524034709936,uncomfortable
68.5,-0.8598199373788837,-1.709168156703764,-1.8939501250147726,56.67943183890461,-46.23954912785214,-10.811863092717998,157.05141222057014,213.73084405947344,uncomfortable
69.0,-1.6360389693210688,-1.6989786137546727,-1.8529024496320656,65.98741166519206,-8.108533687598095,-0.8011964977820042,108.9097301853801,174.89714185057045,uncomfortable
69.5,-2.5211471389215117,-1.7026496943455007,-1.8219168079361672,76.6011284741053,34.632508766148696,10.419145070474789,54.948346163376506,131.54947463748104,uncomfortable
70.0,-3.4999999999999973,-1.7204550987988425,-1.801873160365605,88.33897862836548,81.23594811640358,22.65289477433022,-3.888842890733798,84.45013573762986,uncomfortable
70.5,-4.555849108714195,-1.752422128340685,-1.793459510083946,101.00012425748652,130.8882885510313,35.68650408936264,-66.57479264039395,34.42533161709233,uncomfortable
71.0,-5.670628594077314,-1.7983312796090962,-1.797160195198874,114.3679296494211,182.72408471001256,49.29279589425464,-132.01688060426721,-17.64895095484754,uncomfortable
71.5,-6.825264270019536,-1.8577200612871878,-1.8132476648776115,128.2136679476576,235.8407467435302,63.234850759479315,-199.0755975030095,-70.86192955535343,uncomfortable
72.0,-8.000000000000002,-1.9298909675067295,-1.8417778800839797,142.30043473114927,289.313980962496,77.27005994002637,-266.58404090252236,-124.28360617137353,uncomfortable
